63,3.13,3.13,80,80,0,0,0,145,145
64,28.12,25,78,86,0.01,0,0.91,122,134
65,37.5,34.38,77.5,87.5,0.01,0,1.22,114,129
66,46.88,43.75,77,89,0.02,0,1.52,106,124
65,50,50,77,89,0.03,0,1.52,105,120
66,62.5,56.25,75.5,93.5,0.05,0,2.13,92,121
64,62.5,59.38,75,95,0.06,0,2.44,92,122
65,62.5,62.5,74.5,96.5,0.07,0,2.44,93,122
64,62.5,65.62,76,92,0.09,0,1.83,95,116
65,65.62,68.75,76.5,90.5,0.1,0,1.52,93,113
64,65.62,71.87,77.5,87.5,0.12,0,0.91,95,108
65,65.62,68.75,79,83,0.14,0,-0,97,108
65,65.62,71.87,81.5,79.5,0.15,0,-0.61,101,102
67,65.62,71.87,84.5,78.5,0.16,0,-1.22,105,101
66,68.75,71.87,87.5,77.5,0.19,0,-1.83,106,100
67,68.75,68.75,89,77,0.2,0,-1.83,109,104
67,71.87,71.87,89,77,0.21,0,-1.83,107,101
66,71.87,68.75,87.5,77.5,0.22,0,-1.52,106,105
67,71.87,68.75,83,79,0.25,0,-0.61,103,107
66,75,68.75,79.5,81.5,0.26,0,-0,96,111
66,71.87,68.75,79,83,0.27,0,0.3,99,113
64,68.75,71.87,79,83,0.29,0,0.3,103,111
66,71.87,75,79.5,81.5,0.31,0,-0,101,106
66,68.75,75,83,79,0.32,0,-0.61,109,104
67,68.75,71.87,86,78,0.34,0,-1.22,113,107
66,71.87,71.87,86,78,0.36,0,-1.22,111,107
67,71.87,71.87,86,78,0.37,0,-1.22,112,107
67,71.87,71.87,87.5,77.5,0.39,0,-1.22,114,107
66,75,71.87,86,78,0.4,-0,-0.91,110,108
68,71.87,75,87.5,77.5,0.42,-0,-1.22,116,105
67,75,71.87,81.5,79.5,0.44,-0,-0.3,107,110
68,75,71.87,80,80,0.45,-0,-0,106,111
67,75,71.87,79.5,81.5,0.47,-0,0.3,106,114
67,75,71.87,78.5,84.5,0.49,-0,0.91,105,117
